的	32227
哦	15123
了	11069
是	10875
我	10194
呢	8748
您	8184
吗	7672
好	7268
亲	7060
可以	5570
嗯	4029
不	3895
有	3718
发货	3525
快递	3371
在	3350
给	3327
拍	3274
买	3244
吧	3189
客官	3004
什么	2998
下	2811
这个	2757
都	2727
你	2726
就	2601
亲亲	2582
送	2499
那	2414
没有	2338
您好	2331
我们	2321
要	2257
一下	2255
这边	1988
啊	1856
也	1709
发	1613
帮	1586
现在	1581
看	1561
还	1539
地址	1512
能	1506
已经	1470
会	1410
今天	1380
到	1351
订单	1315
2	1309
这	1239
等	1236
不是	1218
对	1205
你们	1204
活动	1196
怎么	1192
价格	1176
5	1155
元	1132
没	1123
用	1091
说	1068
再	1010
时候	978
湿巾	948
3	946
后	940
优惠	939
和	935
收到	927
明天	916
一样	914
小	904
纯棉	902
邮政	899
付款	892
多	875
退款	872
多少	868
包	856
干	855
一个	849
就是	843
还是	831
不能	820
联系	818
谢谢	790
么	787
核桃	766
请	755
麻烦	755
的话	753
你好	747
小店	739
收货	731
不好意思	726
下单	720
把	687
号	678
备注	677
大	672
个	670
天	652
不会	641
发出	641
一包	635
这款	632
仓库	629
申请	628
不要	625
包邮	625
核对	612
稍	607
哒	599
那个	590
小时	587
运费	585
点	573
退	570
改	568
这样	566
10	561
尽快	557
亲爱	552
时间	550
直接	548
默认	548
呀	541
如果	540
很	537
之前	537
吃	527
客气	526
优惠券	520
榴莲	512
真的	504
拍下	487
还有	483
因为	479
抱歉	479
东西	479
内	477
茶	470
恩恩	467
货	460
份	459
质量	451
需要	451
尺寸	446
6	446
口味	443
知道	443
汇通	437
看看	437
跟	436
问题	435
几天	428
满	427
减	425
想	422
一起	414
包装	410
去	410
啦	408
改价	407
哈	406
店铺	404
实在	403
左右	399
4	399
一份	399
无纺布	399
1	396
一般	393
便宜	387
袋	386
才	386
茶针	385
是不是	384
天天	384
不了	381
哪里	381
一袋	378
上	378
20	374
比较	373
过	370
购买	362
一	361
你家	360
韵达	358
-	357
百世	352
里面	351
问	347
到货	346
其他	344
按	343
12	341
椒盐	341
月	339
来	339
包裹	338
赠品	338
钱	337
物流	337
使用	337
不行	335
不同	334
一些	334
但是	333
刀	332
可能	331
家	324
芒果	324
早	323
试吃	319
72	319
那边	318
一定	318
有没有	318
两个	316
提交	314
应该	314
一点	311
亲请	310
